finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop;cpx;X2015;X2016;X2017;X2018;X2019
590781951;59;2592185;35.32;1;1;1;59;0.337979094;0.110102157;0.091165414;0.097221497;0.017779296;1;24;173;3.81;4.26;0;0;0;0;0;28;26;29;19;32;111;37;15.42619048;12.66309524;38289.69048;1;57.27;58.25;46.67;58.62;45.45
640780490;64;679354;44.79;0;1;0;14;0.042648709;0.042269188;0.042410714;0.031455328;0.027688047;1;10;31;4.36;4.32;0;0;0;0;0;36;26;36;29;34;4;2;21.472;22.512;22986.96;0;33.65;35.62;39.57;40.47;39.66
640780490;64;679354;44.79;0;1;0;14;0.042648709;0.042269188;0.042410714;0.031455328;0.027688047;1;10;31;4.36;4.32;0;0;0;0;0;36;26;36;29;34;4;2;21.472;22.512;22986.96;1;70.59;38.46;42.86;42.86;33.33
690780259;69;1882339;33.81;0;1;0;21;0.105719237;0.091591592;0.063016529;0.010331946;0.013348141;1;11;78;3.21;3.33;0;0;0;0;0;33;32;32;31;49;22;17;13.12857143;10.82619048;34118.71429;0;42.52;45.53;40.35;34.75;44.48
690780259;69;1882339;33.81;0;1;0;21;0.105719237;0.091591592;0.063016529;0.010331946;0.013348141;1;11;78;3.21;3.33;0;0;0;0;0;33;32;32;31;49;22;17;13.12857143;10.82619048;34118.71429;1;66.67;80;50;33.33;75
690780648;69;1882339;33.81;1;1;1;30;0.109318996;0.094720497;0.0639413;0.123988344;0.025436573;1;21;72;3.15;3.52;0;0;0;0;0;40;32;36;21;60;49;48;14.18518519;9.222222222;36731.09259;0;20.79;22.9;24.77;21;17.31
690780648;69;1882339;33.81;1;1;1;30;0.109318996;0.094720497;0.0639413;0.123988344;0.025436573;1;21;72;3.15;3.52;0;0;0;0;0;40;32;36;21;60;49;48;14.18518519;9.222222222;36731.09259;1;66.67;54.55;63.64;60;33.33
690780655;69;1882339;33.81;0;1;0;13;0.095461659;0.081333333;0.057169634;0.000115913;0.012417443;1;5;52;3.29;3.93;0;0;0;0;0;26;24;30;18;46;9;7;12.16190476;9.307142857;34799.7619;0;59.22;58.67;46.46;48.46;46.67
690780655;69;1882339;33.81;0;1;0;13;0.095461659;0.081333333;0.057169634;0.000115913;0.012417443;1;5;52;3.29;3.93;0;0;0;0;0;26;24;30;18;46;9;7;12.16190476;9.307142857;34799.7619;1;76.47;78.57;62.5;62.5;83.33
710978347;71;549763;47.03;1;0;1;6;0.238410596;0.08372093;0.160714286;0.014285714;0.02348815;0;3;21;2.57;3;5;0;37;0;5;35;20;52;20;35;2;2;17.17857143;5.064285714;14951.5;0;NA;NA;16.67;48.08;44.29
710978347;71;549763;47.03;1;0;1;6;0.238410596;0.08372093;0.160714286;0.014285714;0.02348815;0;3;21;2.57;3;5;0;37;0;5;35;20;52;20;35;2;2;17.17857143;5.064285714;14951.5;1;NA;NA;50;60.87;42.86
750000523;75;2140526;34.49;1;1;1;33;0.341317365;0.124183007;0.071878941;0.10859447;0.042480194;1;15;104;2.44;3.09;0;0;0;0;0;61;22;45;42;51;88;29;11.9625;7.96875;35495.6875;0;35.07;29.55;34.11;25.16;25.71
750000523;75;2140526;34.49;1;1;1;33;0.341317365;0.124183007;0.071878941;0.10859447;0.042480194;1;15;104;2.44;3.09;0;0;0;0;0;61;22;45;42;51;88;29;11.9625;7.96875;35495.6875;1;50;48.15;68;52.17;48.15
750100042;75;2140526;34.49;0;1;0;33;0.35625;0.121019108;0.071339174;0.069228695;0.045113693;1;17;93;2.94;2.94;0;0;0;0;0;20;20;24;27;20;234;44;8.988235294;7.958823529;64803.31373;0;13.73;14.98;34.94;37.45;45.67
750100042;75;2140526;34.49;0;1;0;33;0.35625;0.121019108;0.071339174;0.069228695;0.045113693;1;17;93;2.94;2.94;0;0;0;0;0;20;20;24;27;20;234;44;8.988235294;7.958823529;64803.31373;1;20;21.21;39.13;63.64;50
750150104;75;2140526;34.49;0;0;0;21;0.387755102;0.132867133;0.071698113;0.117591914;0.009967642;1;16;196;2.65;2.6;0;0;0;0;0;51;29;53;23;62;111;38;8.681196581;6.823931624;33899.15385;0;42.47;40.26;32.88;24.81;28.11
750150104;75;2140526;34.49;0;0;0;21;0.387755102;0.132867133;0.071698113;0.117591914;0.009967642;1;16;196;2.65;2.6;0;0;0;0;0;51;29;53;23;62;111;38;8.681196581;6.823931624;33899.15385;1;47.3;43.75;32.84;26.15;36.07
750150237;75;2140526;34.49;1;1;0;77;0.385135135;0.122844828;0.071788413;0.090750449;0.049936401;1;18;217;2.55;2.84;0;0;0;0;0;45;40;54;25;49;202;50;9.583030303;6.021212121;30377.89697;0;32.67;29.96;27.31;26.27;26.77
750150237;75;2140526;34.49;1;1;0;77;0.385135135;0.122844828;0.071788413;0.090750449;0.049936401;1;18;217;2.55;2.84;0;0;0;0;0;45;40;54;25;49;202;50;9.583030303;6.021212121;30377.89697;1;67.57;50;70;64.71;60.87
750300493;75;2140526;34.49;0;1;0;40;0.295336788;0.115618661;0.056324111;0;0.031301718;1;7;205;2.97;3.47;0;0;0;0;0;95;75;95;84;95;165;56;20.83846154;11.2224359;61269.41026;0;26.23;26.36;24.73;20.99;22.14
750300493;75;2140526;34.49;0;1;0;40;0.295336788;0.115618661;0.056324111;0;0.031301718;1;7;205;2.97;3.47;0;0;0;0;0;95;75;95;84;95;165;56;20.83846154;11.2224359;61269.41026;1;47.96;55.71;34.31;40.91;38.71
800006124;80;569662;39.48;1;1;1;51;0.56;0.237288136;0.2;0.57010582;0.218291249;1;28;800;2.78;3.18;0;0;0;0;0;50;39;46;27;54;14;23;12.37979003;6.428346457;15190.19685;0;20.19;20.25;23.83;21.5;19.18
800006124;80;569662;39.48;1;1;1;51;0.56;0.237288136;0.2;0.57010582;0.218291249;1;28;800;2.78;3.18;0;0;0;0;0;50;39;46;27;54;14;23;12.37979003;6.428346457;15190.19685;1;48;40.54;57.89;60;75
830100574;83;1075649;46.49;0;0;0;16;0.365384615;0.330434783;0.125827815;0.028262148;0.024796478;1;9;52;3.57;4.65;0;0;0;0;0;56;40;56;28;45;13;25;29.37826087;15.78695652;51876.3913;0;NA;22.69;61.73;62.14;61.03
830100574;83;1075649;46.49;0;0;0;16;0.365384615;0.330434783;0.125827815;0.028262148;0.024796478;1;9;52;3.57;4.65;0;0;0;0;0;56;40;56;28;45;13;25;29.37826087;15.78695652;51876.3913;1;NA;NA;66.67;50;50
900000035;90;143104;39.38;1;0;1;13;0.6;0.5;0.6;0;0.302675947;1;4;188;2.18;3.06;0;0;7;0;0;34;25;31;18;34;5;6;9.663414634;4.168292683;16562.52439;0;38.28;36.04;35.36;40.97;36.52
900000035;90;143104;39.38;1;0;1;13;0.6;0.5;0.6;0;0.302675947;1;4;188;2.18;3.06;0;0;7;0;0;34;25;31;18;34;5;6;9.663414634;4.168292683;16562.52439;1;72.73;73.33;46.67;78.57;61.54
920100013;92;1606088;32.71;0;1;0;36;0.510204082;0.158730159;0.19379845;0.432616964;0.081306362;1;29;185;2.68;2.02;0;0;0;0;0;24;25;38;23;27;93;27;6.783838384;5.717171717;29678.81818;0;45.64;33.73;7.91;23.97;30.47
920100013;92;1606088;32.71;0;1;0;36;0.510204082;0.158730159;0.19379845;0.432616964;0.081306362;1;29;185;2.68;2.02;0;0;0;0;0;24;25;38;23;27;93;27;6.783838384;5.717171717;29678.81818;1;81.82;59.26;16.67;47.06;36.36
940120017;94;1395209;33.13;0;1;0;9;0.204545455;0.10619469;0.125874126;0.034457672;0.026380794;1;6;27;3;2.5;0;0;0;0;0;18;14;25;9;9;23;13;6.266666667;10.38333333;61108.25;0;36.53;18.97;34.94;50.33;43.79
940120017;94;1395209;33.13;0;1;0;9;0.204545455;0.10619469;0.125874126;0.034457672;0.026380794;1;6;27;3;2.5;0;0;0;0;0;18;14;25;9;9;23;13;6.266666667;10.38333333;61108.25;1;33.33;27.27;15;40;60
950032714;95;1243921;31.53;1;1;1;4;0.31;0.151219512;0.191358025;0;0.014912881;1;3;5;3;3;0;0;0;10;8;14;8;16;16;16;1;0;6.62;8.48;13141;0;NA;NA;1.61;3.02;2.17
950807982;95;1243921;31.53;1;1;1;43;0.430555556;0.212328767;0.226277372;0.422329749;0.093224065;1;20;132;2.84;2.61;0;0;0;0;0;24;16;24;20;24;27;9;7.204918033;6.447540984;41700.34426;0;16.93;17.34;16.92;18.41;28.5
950807982;95;1243921;31.53;1;1;1;43;0.430555556;0.212328767;0.226277372;0.422329749;0.093224065;1;20;132;2.84;2.61;0;0;0;0;0;24;16;24;20;24;27;9;7.204918033;6.447540984;41700.34426;1;34.48;61.11;33.33;37.5;73.68
