"name";"strength_total";"closeness_all";"centrality";"prestige";"betweenness";"pagerank";"triangles";"degree";"finess";"experimentateur";"status";"section";"reg23_label";"annee";"Count"
"060780517_MCO";26;0.217391304347826;0.147058823529412;0.0828729281767956;0.00853535353535353;0.0225632879678597;1;9;"060780517";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060780590_MCO";2;0.159010600706714;0.0963597430406852;0.0217391304347826;0;0.00396059379258749;0;1;"060780590";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060780715_MCO";39;0.240641711229947;0.0935550935550936;0.0961538461538462;0.0925925925925926;0.0641568413580811;1;13;"060780715";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060780723_MCO";10;0.244565217391304;0.149006622516556;0.0939457202505219;0.105189995189995;0.0126189040091178;1;9;"060780723";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060781200_MCO";19;0.214285714285714;0.144230769230769;0.0882352941176471;0.0377104377104377;0.0277983523483314;1;9;"060781200";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060785003_MCO";30;0.233160621761658;0.149501661129568;0.093167701863354;0.129098124098124;0.0311126762321402;1;15;"060785003";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060785219_MCO";21;0.207373271889401;0.13719512195122;0.0880626223091976;0.0120454545454545;0.0355690437317382;1;7;"060785219";0;"MCO";NA;"Provence-Alpes-Côte d'Azur";2015;5
"060788957_MCO";4;0.201793721973094;0.133928571428571;0.078125;0.000126262626262626;0.00626640233761532;1;3;"060788957";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060789195_MCO";90;0.264705882352941;0.163636363636364;0.0947368421052632;0.253039923039923;0.0570416571257522;1;29;"060789195";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060791811_MCO";2;0.217391304347826;0.132743362831858;0.0834879406307978;0.00431818181818182;0.0051134980651014;1;2;"060791811";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060794013_MCO";7;0.204545454545455;0.138888888888889;0.0807899461400359;0.00192400192400192;0.011135495625376;1;5;"060794013";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"060800166_MCO";18;0.212264150943396;0.134730538922156;0.0880626223091976;0;0.021779670194574;1;6;"060800166";0;"MCO";"structureet";"Provence-Alpes-Côte d'Azur";2015;5
"070000013_MCO";2;0.0454545454545455;0.0454545454545455;0.0454545454545455;0;0.0903534741432529;0;2;"070000013";0;"MCO";"structureet";"Rhône-Alpes";2015;5
"070000179_MCO";7;0.138364779874214;0.117647058823529;0.0551378446115288;0.121212121212121;0.0694678336000459;0;7;"070000179";0;"MCO";"structureet";"Rhône-Alpes";2015;5
"070000609_MCO";10;0.132530120481928;0.0632183908045977;0.061624649859944;0.0909090909090909;0.0398940998997704;0;4;"070000609";0;"MCO";"structureet";"Rhône-Alpes";2015;5
"070780168_MCO";8;0.145695364238411;0.063768115942029;0.0592991913746631;0.0303030303030303;0.029109342818076;0;5;"070780168";0;"MCO";"structureet";"Rhône-Alpes";2015;5
"070780424_MCO";5;0.153846153846154;0.130177514792899;0.054590570719603;0.138528138528139;0.0459139179481446;0;5;"070780424";0;"MCO";"structureet";"Rhône-Alpes";2015;5
"080000110_MCO";7;0.232558139534884;0.232558139534884;0.0980392156862745;0.0277777777777778;0.0438921350780457;0;3;"080000110";0;"MCO";"structureet";"Champagne";2015;5
"080000425_MCO";10;0.277777777777778;0.158730158730159;0.166666666666667;0.166666666666667;0.218349216682775;1;5;"080000425";0;"MCO";"structureet";"Champagne";2015;5
"080010473_MCO";8;0.277777777777778;0.126582278481013;0.277777777777778;0.1;0.148979183396577;1;5;"080010473";0;"MCO";"structureet";"Champagne";2015;5
"090000175_MCO";17;0.714285714285714;0.238095238095238;0.3125;0.4;0.375253950408325;1;6;"090000175";0;"MCO";"structureet";"Midi-Pyrénées";2015;5
"100000082_MCO";4;0.122222222222222;0.114583333333333;0.0833333333333333;0;0.0294230682708307;0;1;"100000082";0;"MCO";"structureet";"Champagne";2015;5
"100000090_MCO";21;0.183333333333333;0.161764705882353;0.132530120481928;0.190909090909091;0.118220096054169;1;7;"100000090";0;"MCO";"structureet";"Champagne";2015;5
"100000124_MCO";68;0.17741935483871;0.135802469135802;0.144736842105263;0.113636363636364;0.153483728728805;1;8;"100000124";0;"MCO";"structureet";"Champagne";2015;5
