finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop;Taux_cpx0;Taux_cpx1
250000270;25;539465;38.26;1;1;1;23;0.421052631578947;0.333333333333333;0.128;0.046875;0.0378149052104374;1;7;268;2.14;3.2;0;0;8;0;0;65;52;65;29;63;2;3;11.7687074829932;6.19319727891156;9359.37414965986;28.2;77.78
310780150;31;1390496;34.06;0;0;0;119;0.525;0.297872340425532;0.135922330097087;0.153621665468355;0.0803889234738033;1;28;435;3.51;4.27;0;0;0;0;0;52;36;48;24;52;126;71;23.7330049261084;14.3379310344828;32913.0246305419;40.8;70.83
310783048;31;1390496;34.06;0;0;0;62;0.567567567567568;0.328125;0.138613861386139;0.391993011505207;0.0688451675977476;1;36;487;3.33;4.22;0;0;0;0;0;45;45;45;34;45;6;10;21.9544117647059;13.15;15808.9754901961;38.87;51.85
330000340;33;1620243;37.61;1;1;0;39;0.420689655172414;0.144893111638955;0.102006688963211;0.0688170049440541;0.0529810679982379;1;20;43;3.52;4.04;0;0;0;0;0;47;43;33;21;46;4;3;17.8260869565217;13.4304347826087;19037.2173913043;38.46;76.92
330781360;33;1620243;37.61;1;1;1;38;0.564814814814815;0.160949868073879;0.109318996415771;0.406130627114234;0.0521396666820427;1;35;101;2.84;3.67;0;0;0;0;0;44;34;46;26;44;56;12;16.13;9.3475;30892.625;21.46;50
330782582;33;1620243;37.61;1;1;1;25;0.358823529411765;0.141203703703704;0.0966719492868463;0.0604826958105647;0.043273216691243;1;13;21;3.4;4.6;0;0;11;0;0;40;40;47;19;31;4;4;18.7266666666667;14.12;22060.8;14.73;100
340780634;34;1165412;40.13;0;0;0;38;0.403100775193798;0.220338983050847;0.0723226703755216;0.137496823186868;0.0406162631915685;1;18;38;5;5;0;0;0;0;0;30;22;32;25;15;37;20;18;27.55;126189.9;56.74;59.09
350000121;35;1076330;35.9;1;1;1;18;0.237113402061856;0.0819964349376114;0.100877192982456;0.224106280193237;0.040260995693195;1;14;45;2.95;3;0;0;0;0;0;38;23;31;20;38;35;11;10.6690476190476;7.77619047619048;30097.119047619;16.79;51.06
400780342;40;409325;46.7;0;0;0;11;0.224137931034483;0.110169491525424;0.171052631578947;0;0.054304570536947;1;5;25;3.95;3.5;0;0;0;0;0;30;28;30;34;28;0;1;19.3181818181818;18.9727272727273;17926.8636363636;37.93;NA
420010050;42;762222;41.29;0;0;0;84;0.245454545454545;0.182432432432432;0.143617021276596;0.0947056030389364;0.118733354856897;1;17;116;3;4.15;0;0;0;0;0;42;25;46;18;49;37;37;16.8585365853659;11.1341463414634;36158.9512195122;47.34;73.86
